T_ID,Code,relief_0,relief_1,relief_2,relief_3,relief_4,slope_<45,slope_>45,slope_0,slope_45,slope_90,fov.open,fov.limited,turf_algae,rock,hydrocoral,halimeda,cca,macroalgae,complex_octocoral,other_octocoral,seagrass,sponge,HC_complex,HC_encrusting,HC_plate,HC_other,HC_bleached,HC_dead,HC_massive_submass,unconsolidated_subs,,Reef,Site,Date,Transect,Lat,Long,Depth,Temperature,Habitat,Survey
Edna_1_Jul2021_T2,ED_1_2,0,10,71,4,0,0,0,0,85,0,100,0,0,26.19,0,0,0,0,17.86,0,0,4.76,0,0,51.19,0,0,0,0,0,,Lihou,Edna_1,18/07/2021,T2,-17.58730507,151.6020966,86,25.7,outer_reef,Jul-21
Edna_1_Jul2021_T3,ED_1_3,0,9,26,0,0,0,0,0,35,0,40,60,0,25.71,0,0,0,0,2.86,0,0,0,0,0,71.43,0,0,0,0,0,,Lihou,Edna_1,18/07/2021,T3,-17.58730507,151.6020966,79,25.7,outer_reef,Jul-21
Edna_1_Jul2021_T4,ED_1_4,0,33,34,0,0,0,0,0,67,0,80,20,1.49,5.97,0,0,0,0,20.9,0,0,0,0,0,71.64,0,0,0,0,0,,Lihou,Edna_1,18/07/2021,T4,-17.58730507,151.6020966,69,25.6,outer_reef,Jul-21
Edna_1_Jul2021_T5,ED_1_5,18,42,0,0,0,37,0,0,23,0,80,20,0,1.67,0,58.33,0,0,25,3.33,0,0,0,0,0,0,0,0,0,11.67,,Lihou,Edna_1,18/07/2021,T5,-17.58730507,151.6020966,63,25.6,outer_reef,Jul-21
Edna_1_Jul2021_T6,ED_1_6,13,40,0,0,0,53,0,0,0,0,80,20,0,0,0,81.13,0,0,0,0,0,0,0,0,0,0,0,0,0,18.87,,Lihou,Edna_1,18/07/2021,T6,-17.58730507,151.6020966,61,25.6,outer_reef,Jul-21
Edna_2_Jul2021_T1,ED_2_1,40,12,0,0,0,52,0,0,0,0,80,20,0,0,0,7.69,0,0,0,9.62,0,0,0,0,0,0,0,0,0,82.69,,Lihou,Edna_2,18/07/2021,T1,-17.58360672,151.6024628,51.3,25.6,outer_reef,Jul-21
Edna_2_Jul2021_T2,ED_2_2,0,6,57,6,0,2,7,0,60,0,80,20,60.87,0,0,0,0,0,21.74,4.35,0,1.45,0,2.9,0,0,0,0,1.45,7.25,,Lihou,Edna_2,18/07/2021,T2,-17.58360672,151.6024628,48,25.5,outer_reef,Jul-21
Edna_2_Jul2021_T3,ED_2_3,2,9,46,24,0,28,0,53,0,0,100,0,22.78,2.53,0,6.33,0,2.53,29.11,1.27,0,2.53,10.13,5.06,10.13,0,0,0,7.59,0,,Lihou,Edna_2,18/07/2021,T3,-17.58360672,151.6024628,39,25.5,outer_reef,Jul-21
Edna_3_Jul2021_T1,ED_3_1,0,3,48,2,0,41,0,9,3,0,60,40,25,0,0,4.17,0,20.83,25,2.08,0,4.17,8.33,4.17,0,0,0,0,6.25,0,,Lihou,Edna_3,18/07/2021,T1,-17.58265686,151.602356,26.7,25.5,outer_reef,Jul-21
Edna_3_Jul2021_T2,ED_3_2,0,6,53,1,0,40,0,6,14,0,80,20,40,0,0,10,0,15,30,0,0,0,3.33,0,0,0,0,0,1.67,0,,Lihou,Edna_3,18/07/2021,T2,-17.58265686,151.602356,19.1,25.4,outer_reef,Jul-21
Edna_3_Jul2021_T3,ED_3_3,0,51,9,0,0,4,0,55,1,0,80,20,27.12,0,0,3.39,0,25.42,37.29,0,0,1.69,0,0,3.39,1.69,0,0,0,0,,Lihou,Edna_3,18/07/2021,T3,-17.58265686,151.602356,14,25.3,outer_reef,Jul-21
Edna_3_Jul2021_T4,ED_3_4,7,39,4,1,0,17,0,34,0,0,80,20,56.86,0,0,1.96,0,0,35.29,0,0,1.96,1.96,0,0,0,0,0,0,1.96,,Lihou,Edna_3,18/07/2021,T4,-17.58265686,151.602356,9.8,25.3,outer_reef,Jul-21
Edna_3_Jul2021_T5,ED_3_5,0,46,8,2,0,4,9,26,16,1,80,20,73.21,0,0,3.57,0,1.79,21.43,0,0,0,0,0,0,0,0,0,0,0,,Lihou,Edna_3,18/07/2021,T5,-17.58265686,151.602356,7.6,25.3,outer_reef,Jul-21
Flinders_N1_Feb2021_T1,FL_N1,59,2,0,0,0,0,0,61,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,Flinders,Flinders_N1,18/02/2021,T1,-17.86224,148.54848,42.1,29.3,lagoon,Feb-21
Flinders_N1_Feb2021_T2,FL_N2,48,12,0,0,0,0,0,60,0,0,80,20,1.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,Flinders,Flinders_N1,18/02/2021,T2,-17.86224,148.54848,40.2,29.2,lagoon,Feb-21
Flinders_N1_Feb2021_T3,FL_N3,45,2,13,0,0,0,0,60,0,0,80,20,15,0,0,0,0,0,3.33,0,0,0,0,3.33,0,0,0,0,0,78.33,,Flinders,Flinders_N1,18/02/2021,T3,-17.86224,148.54848,40,29.2,lagoon,Feb-21
Flinders_N1_Feb2021_T4,FL_N4,49,5,6,0,0,0,0,60,0,0,80,20,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,86.67,,Flinders,Flinders_N1,18/02/2021,T4,-17.86224,148.54848,40,29.2,lagoon,Feb-21
Flinders_N1_Feb2021_T5,FL_N5,42,16,2,0,0,0,0,60,0,0,80,20,6.67,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,90,,Flinders,Flinders_N1,18/02/2021,T5,-17.86224,148.54848,41.5,29.2,lagoon,Feb-21
Flinders_N1_Feb2021_T6,FL_N6,36,8,20,0,0,0,0,64,0,0,80,20,10.94,0,0,0,0,9.38,4.69,1.56,0,0,0,0,1.56,0,0,0,4.69,67.19,,Flinders,Flinders_N1,18/02/2021,T6,-17.86224,148.54848,43.3,29.2,lagoon,Feb-21
Flinders_N1_Feb2021_T7,FL_N7,37,10,18,0,0,0,0,65,0,0,80,20,7.58,0,0,3.03,0,9.09,6.06,1.52,0,1.52,0,0,1.52,0,0,1.52,0,68.18,,Flinders,Flinders_N1,18/02/2021,T7,-17.86224,148.54848,44,29.1,lagoon,Feb-21
Flinders_S1_Feb2021_T1,FL_S1,0,0,66,0,0,0,60,0,4,2,80,20,22.73,9.09,6.06,0,0,54.55,4.55,0,0,0,0,0,0,1.52,0,0,1.52,0,,Flinders,Flinders_S1,16/02/2021,T1,-17.86224,148.46677,35.6,29.2,outer_reef,Feb-21
Flinders_S1_Feb2021_T2,FL_S2,0,0,55,15,0,0,34,0,0,36,80,20,21.43,10,0,27.14,0,31.43,4.29,0,0,0,0,1.43,1.43,0,0,0,2.86,0,,Flinders,Flinders_S1,16/02/2021,T2,-17.86224,148.46677,37.1,29.2,outer_reef,Feb-21
Flinders_S1_Feb2021_T3,FL_S3,0,0,51,20,0,0,45,0,0,26,80,20,35.71,8.57,0,28.57,0,8.57,8.57,0,0,0,1.43,2.86,2.86,0,0,0,2.86,0,,Flinders,Flinders_S1,16/02/2021,T3,-17.86224,148.46677,42.1,29.2,outer_reef,Feb-21
Flinders_S1_Feb2021_T4,FL_S4,0,0,64,5,0,0,36,0,0,32,80,20,52.17,8.7,0,5.8,0,20.29,1.45,0,0,0,0,4.35,5.8,0,0,0,1.45,0,,Flinders,Flinders_S1,16/02/2021,T4,-17.86224,148.46677,35.2,29.3,outer_reef,Feb-21
Flinders_S1_Feb2021_T5,FL_S5,0,10,15,35,11,0,3,0,0,68,80,20,11.48,4.92,0,73.77,0,0,4.92,0,0,0,0,0,0,0,0,0,1.64,3.28,,Flinders,Flinders_S1,16/02/2021,T5,-17.86224,148.46677,45.4,29.2,outer_reef,Feb-21
Flinders_S1_Feb2021_T6,FL_S6,0,7,59,8,0,0,49,0,3,22,80,20,51.39,16.67,0,8.33,0,12.5,0,0,0,1.39,0,0,8.33,0,0,0,1.39,0,,Flinders,Flinders_S1,16/02/2021,T6,-17.86224,148.46677,34.3,29.2,outer_reef,Feb-21
Flinders_S1_Feb2021_T7,FL_S7,0,0,10,52,8,0,12,0,0,58,80,20,7.81,10.94,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,,Flinders,Flinders_S1,16/02/2021,T7,-17.86224,148.46677,45.2,29.2,outer_reef,Feb-21
HerSurp_1_Feb2022_T,HS_0,0,3,15,2,0,6,3,0,11,0,20,80,60,0,0,0,0,5,0,0,0,5,10,5,0,0,0,0,0,15,,Herald's Surprise,HerSurp_1,26/02/2022,T9,-17.33076,148.478,6.8,28.8,outer_reef,Feb-22
HerSurp_1_Feb2022_T1,HS_1,0,5,50,8,0,11,5,0,47,0,80,20,51.61,0,0,0,0,0,32.26,0,0,9.68,3.23,0,3.23,0,0,0,0,0,,Herald's Surprise,HerSurp_1,26/02/2022,T1,-17.33076,148.478,61.3,27.4,outer_reef,Feb-22
HerSurp_1_Feb2022_T2,HS_2,0,32,45,0,0,37,0,0,40,0,80,20,42.11,1.32,0,2.63,0,5.26,18.42,0,0,0,2.63,3.95,3.95,1.32,0,0,1.32,17.11,,Herald's Surprise,HerSurp_1,26/02/2022,T2,-17.33076,148.478,55.5,27.4,outer_reef,Feb-22
