"","New_ID","Site","Transect.x","Depth_m","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper","turf_algae","rock","hydrocoral","halimeda","cca","macroalgae","complex_octocoral","other_octocoral","seagrass","sponge","HC_complex","HC_encrusting","HC_plate","HC_other","HC_bleached","HC_dead","HC_massive_submass","unconsolidated_subs","Transect.y","Depth","Survey","Site_recode","Survey_recode","total_macroalgae","total_hard_coral"
"20","Feb_21|FLIN-02|T5|41.5","FLIN-02","T5",41.5,0,1,0,0,0,0,6.67,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,90,"T5",41.5,"Feb-21","FLIN-02","Feb_21",3.33,0
"21","Feb_21|FLIN-02|T6|43.3","FLIN-02","T6",43.3,0,10,0,0,0,0,10.94,0,0,0,0,9.38,4.69,1.56,0,0,0,0,1.56,0,0,0,4.69,67.19,"T6",43.3,"Feb-21","FLIN-02","Feb_21",9.38,6.25
"22","Feb_21|FLIN-02|T7|44","FLIN-02","T7",44,1,3,0,0,1,0,7.58,0,0,3.03,0,9.09,6.06,1.52,0,1.52,0,0,1.52,0,0,1.52,0,68.18,"T7",44,"Feb-21","FLIN-02","Feb_21",12.12,1.52
"23","Feb_21|FRED-01|T1|34.8","FRED-01","T1",34.8,1,7,0,1,0,0,0,1.52,0,0,0,62.12,0,0,0,0,0,0,0,0,0,0,4.55,31.82,"T1",34.8,"Feb-21","FRED-01","Feb_21",62.12,4.55
"24","Feb_21|HERA-01|T2|35.3","HERA-01","T2",35.3,2,0,0,8,0,0,0,3.39,0,1.69,0,20.34,1.69,0,0,0,3.39,0,1.69,0,0,0,0,67.8,"T2",35.3,"Feb-21","HERA-01","Feb_21",22.03,5.08
"25","Feb_21|HERA-01|T4|43.5","HERA-01","T4",43.5,2,8,0,1,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,94.34,"T4",43.5,"Feb-21","HERA-01","Feb_21",5.66,0
"26","Feb_21|HERA-01|T5|43.8","HERA-01","T5",43.8,2,9,0,1,0,1,0,4.65,0,0,0,68.6,4.65,0,0,0,0,0,1.16,0,0,0,0,20.93,"T5",43.8,"Feb-21","HERA-01","Feb_21",68.6,1.16
"27","Feb_21|HERA-01|T6|41.7","HERA-01","T6",41.7,2,18,2,4,0,0,0,0,0,0,0,60.47,8.14,0,0,1.16,1.16,0,0,2.33,0,0,0,26.74,"T6",41.7,"Feb-21","HERA-01","Feb_21",60.47,3.49
"28","Feb_21|HERA-01|T7|40.5","HERA-01","T7",40.5,2,10,1,8,0,8,0,0,0,0,0,58.97,0,0,0,0,2.56,0,0,0,0,0,1.28,37.18,"T7",40.5,"Feb-21","HERA-01","Feb_21",58.97,3.84
"29","Feb_21|HERA-01|T8|40.4","HERA-01","T8",40.4,2,20,0,3,4,1,0,10,0,0,0,47.5,2.5,0,0,0,0,1.25,0,3.75,0,0,0,35,"T8",40.4,"Feb-21","HERA-01","Feb_21",47.5,5
"30","Feb_21|HERA-01|T9|37.1","HERA-01","T9",37.1,3,14,3,8,0,3,0,1.47,0,0,0,58.82,7.35,0,0,0,1.47,0,0,5.88,0,0,0,25,"T9",37.1,"Feb-21","HERA-01","Feb_21",58.82,7.35
"31","Feb_21|HERM-01|T1|46.2","HERM-01","T1",46.2,1,10,0,2,0,6,0,10,0,2.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,75,"T1",46.2,"Feb-21","HERM-01","Feb_21",15,0
"32","Feb_21|HERM-01|T2|46.6","HERM-01","T2",46.6,1,9,0,0,0,1,2.17,4.35,0,10.87,0,19.57,2.17,0,0,2.17,0,0,0,0,0,0,0,58.7,"T2",46.6,"Feb-21","HERM-01","Feb_21",30.44,0
"33","Feb_21|HERM-01|T4|47.1","HERM-01","T4",47.1,0,1,0,0,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,92.68,"T4",47.1,"Feb-21","HERM-01","Feb_21",7.32,0
"34","Feb_21|HOLM-02|T1|62.7","HOLM-02","T1",62.7,3,2,0,0,0,0,25.4,6.35,0,15.87,0,1.59,33.33,0,0,4.76,0,0,0,0,0,0,0,12.7,"T1",62.7,"Feb-21","HOLM-02","Feb_21",17.46,0
"35","Feb_21|HOLM-02|T10|37","HOLM-02","T10",37,2,10,0,2,0,1,15.62,0,3.12,0,0,21.88,12.5,1.56,0,4.69,1.56,3.12,3.12,0,0,0,3.12,29.69,"T10",37,"Feb-21","HOLM-02","Feb_21",21.88,10.92
"36","Feb_21|HOLM-02|T2|63.7","HOLM-02","T2",63.7,3,6,0,0,0,0,17.65,0,0,19.12,0,5.88,26.47,0,0,2.94,1.47,7.35,4.41,1.47,0,0,1.47,11.76,"T2",63.7,"Feb-21","HOLM-02","Feb_21",25,16.17
"37","Feb_21|HOLM-02|T4|63.2","HOLM-02","T4",63.2,4,4,2,0,0,0,14.86,0,0,25.68,0,1.35,28.38,0,0,2.7,0,0,0,0,0,0,0,27.03,"T4",63.2,"Feb-21","HOLM-02","Feb_21",27.03,0
"38","Feb_21|HOLM-02|T6|56.6","HOLM-02","T6",56.6,3,3,0,0,0,0,14.71,2.94,1.47,8.82,0,4.41,26.47,1.47,0,8.82,2.94,10.29,0,0,0,0,0,17.65,"T6",56.6,"Feb-21","HOLM-02","Feb_21",13.23,13.23
"39","Feb_21|HOLM-02|T7|54.5","HOLM-02","T7",54.5,4,3,0,0,0,0,17.65,0,0,41.18,0,1.47,20.59,0,0,2.94,1.47,4.41,1.47,1.47,0,0,0,7.35,"T7",54.5,"Feb-21","HOLM-02","Feb_21",42.65,8.82
"40","Feb_21|HOLM-02|T9|45","HOLM-02","T9",45,4,2,0,0,0,0,17.57,0,10.81,4.05,0,9.46,20.27,0,0,2.7,8.11,8.11,1.35,1.35,0,0,0,16.22,"T9",45,"Feb-21","HOLM-02","Feb_21",13.51,18.92
"41","Feb_21|KENN-01|T1|40.8","KENN-01","T1",40.8,4,5,1,4,0,2,4,24,0,0,0,16,7,2,0,0,10,6,4,14,9,1,3,0,"T1",40.8,"Feb-21","KENN-01","Feb_21",16,37
"42","Feb_21|KENN-01|T2|31.1","KENN-01","T2",31.1,4,4,0,3,1,2,6.85,17.81,0,0,0,2.74,15.07,0,0,0,6.85,5.48,13.7,15.07,0,0,6.85,9.59,"T2",31.1,"Feb-21","KENN-01","Feb_21",2.74,47.95
"43","Feb_21|KENN-01|T3|31.4","KENN-01","T3",31.4,3,29,3,5,1,4,8.2,21.31,1.64,0,0,9.84,6.56,0,0,3.28,8.2,6.56,8.2,8.2,0,3.28,3.28,11.48,"T3",31.4,"Feb-21","KENN-01","Feb_21",9.84,34.44
"44","Feb_21|KENN-01|T4|32.3","KENN-01","T4",32.3,3,8,0,0,0,0,15.15,15.15,6.06,0,0,3.03,15.15,0,0,1.52,7.58,4.55,3.03,4.55,0,0,12.12,12.12,"T4",32.3,"Feb-21","KENN-01","Feb_21",3.03,31.83
"45","Feb_21|MARI-01|T1|33.9","MARI-01","T1",33.9,2,1,0,7,0,1,8.51,10.64,0,0,0,23.4,0,0,0,0,4.26,0,0,0,0,0,0,53.19,"T1",33.9,"Feb-21","MARI-01","Feb_21",23.4,4.26
"46","Feb_21|MARI-01|T6|35","MARI-01","T6",35,1,1,0,4,0,1,0,11.11,0,8.89,0,17.78,0,0,0,0,0,0,0,0,0,0,0,62.22,"T6",35,"Feb-21","MARI-01","Feb_21",26.67,0
"47","Feb_21|SAUM-01|T2|29.6","SAUM-01","T2",29.6,1,2,0,0,0,0,0,11.11,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,55.56,"T2",29.6,"Feb-21","SAUM-01","Feb_21",33.33,0
"48","Feb_21|SAUM-01|T4|29.6","SAUM-01","T4",29.6,0,6,0,0,0,0,0,0,0,14.58,0,18.75,2.08,0,0,10.42,0,0,0,0,0,0,0,54.17,"T4",29.6,"Feb-21","SAUM-01","Feb_21",33.33,0
"49","Feb_21|SAUM-01|T5|29.5","SAUM-01","T5",29.5,1,13,2,0,0,0,0,0,0,11.32,0,39.62,0,0,0,5.66,0,0,0,0,0,0,0,43.4,"T5",29.5,"Feb-21","SAUM-01","Feb_21",50.94,0
"50","Feb_21|WILL-01|T1|35.2","WILL-01","T1",35.2,3,3,0,6,0,1,6.82,20.45,4.55,0,0,15.91,9.09,1.14,0,0,5.68,5.68,3.41,3.41,0,1.14,1.14,21.59,"T1",35.2,"Feb-21","WILL-01","Feb_21",15.91,19.32
"51","Feb_21|WILL-01|T10|50.4","WILL-01","T10",50.4,3,0,0,3,1,2,5.56,4.44,0,7.78,0,11.11,5.56,0,0,3.33,0,0,0,0,0,0,1.11,61.11,"T10",50.4,"Feb-21","WILL-01","Feb_21",18.89,1.11
"52","Feb_21|WILL-01|T11|50.1","WILL-01","T11",50.1,3,4,0,2,0,0,0,33.33,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,50,"T11",50.1,"Feb-21","WILL-01","Feb_21",16.67,0
"53","Feb_21|WILL-01|T12|40","WILL-01","T12",40,3,1,0,0,0,0,6.06,19.7,10.61,0,0,19.7,3.03,0,0,1.52,0,1.52,4.55,0,0,1.52,7.58,24.24,"T12",40,"Feb-21","WILL-01","Feb_21",19.7,13.65
"54","Feb_21|WILL-01|T13|43","WILL-01","T13",43,3,2,0,1,0,0,4.05,20.27,0,4.05,0,41.89,1.35,0,0,1.35,0,1.35,8.11,0,0,0,4.05,13.51,"T13",43,"Feb-21","WILL-01","Feb_21",45.94,13.51
"55","Feb_21|WILL-01|T14|42","WILL-01","T14",42,3,1,0,0,0,0,18.03,4.92,1.64,0,0,21.31,6.56,1.64,0,3.28,0,3.28,1.64,4.92,0,0,3.28,29.51,"T14",42,"Feb-21","WILL-01","Feb_21",21.31,13.12
"56","Feb_21|WILL-01|T15|42","WILL-01","T15",42,3,10,0,2,0,3,14.75,11.48,0,0,0,24.59,4.92,0,0,1.64,1.64,6.56,1.64,4.92,0,0,9.84,18.03,"T15",42,"Feb-21","WILL-01","Feb_21",24.59,24.6
"57","Feb_21|WILL-01|T2|42.3","WILL-01","T2",42.3,4,6,0,0,0,0,0,10,0,1.25,0,40,11.25,1.25,0,1.25,1.25,0,3.75,1.25,0,1.25,1.25,26.25,"T2",42.3,"Feb-21","WILL-01","Feb_21",41.25,7.5
"58","Feb_21|WILL-01|T3|44.4","WILL-01","T3",44.4,4,1,0,0,0,0,0,7.04,0,2.82,0,38.03,14.08,1.41,0,0,0,1.41,0,1.41,0,0,2.82,30.99,"T3",44.4,"Feb-21","WILL-01","Feb_21",40.85,5.64
"59","Feb_21|WILL-01|T4|51.5","WILL-01","T4",51.5,3,3,0,2,0,0,0,10.45,0,2.99,0,13.43,19.4,0,0,2.99,0,0,0,0,0,0,4.48,46.27,"T4",51.5,"Feb-21","WILL-01","Feb_21",16.42,4.48
"60","Feb_21|WILL-01|T5|52.3","WILL-01","T5",52.3,3,1,0,0,0,0,4.55,4.55,0,13.64,0,10.61,16.67,1.52,0,3.03,0,0,3.03,0,0,0,4.55,37.88,"T5",52.3,"Feb-21","WILL-01","Feb_21",24.25,7.58
"61","Feb_21|WILL-01|T6|52.3","WILL-01","T6",52.3,3,2,0,0,0,1,0,0,0,3.8,0,0,7.59,5.06,0,0,0,0,0,0,0,0,0,83.54,"T6",52.3,"Feb-21","WILL-01","Feb_21",3.8,0
"62","Feb_21|WILL-01|T8|44.8","WILL-01","T8",44.8,2,1,0,0,0,0,6.58,19.74,0,0,0,23.68,2.63,0,0,0,0,0,3.95,0,0,0,3.95,39.47,"T8",44.8,"Feb-21","WILL-01","Feb_21",23.68,7.9
"63","Feb_21|WILL-01|T9|44.1","WILL-01","T9",44.1,2,3,0,0,0,2,10.26,20.51,0,0,0,11.54,3.85,1.28,0,6.41,0,0,0,0,0,0,3.85,42.31,"T9",44.1,"Feb-21","WILL-01","Feb_21",11.54,3.85
"64","Feb_21|WREC-01|T1|31.5","WREC-01","T1",31.5,3,7,0,3,0,3,38.18,10.91,0,0,0,9.09,1.82,1.82,0,0,16.36,5.45,3.64,12.73,0,0,0,0,"T1",31.5,"Feb-21","WREC-01","Feb_21",9.09,38.18
"65","Feb_21|WREC-01|T2|36.5","WREC-01","T2",36.5,3,4,0,10,0,5,25.58,18.6,0,0,0,32.56,0,0,0,0,4.65,2.33,4.65,6.98,0,0,0,4.65,"T2",36.5,"Feb-21","WREC-01","Feb_21",32.56,18.61
"66","Feb_21|WREC-01|T3|36.3","WREC-01","T3",36.3,3,15,0,14,0,2,35.19,11.11,0,0,0,18.52,1.85,1.85,0,1.85,5.56,0,1.85,9.26,0,0,1.85,11.11,"T3",36.3,"Feb-21","WREC-01","Feb_21",18.52,18.52
"67","Feb_22|HSUP-01|T1|61.3","HSUP-01","T1",61.3,4,2,0,0,0,0,51.61,0,0,0,0,0,32.26,0,0,9.68,3.23,0,3.23,0,0,0,0,0,"T1",61.3,"Feb-22","HSUP-01","Feb_22",0,6.46
