"","turf_algae","rock","hydrocoral","halimeda","cca","macroalgae","complex_octocoral","other_octocoral","seagrass","sponge","HC_complex","HC_encrusting","HC_plate","HC_other","HC_bleached","HC_dead","HC_massive_submass","unconsolidated_subs","Transect","Depth","Survey","Site_recode","Survey_recode","New_ID","total_macroalgae","total_hard_coral"
"27",1.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,90,"T2",40.2,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T2",8.33,0
"28",15,0,0,0,0,0,3.33,0,0,0,0,3.33,0,0,0,0,0,78.33,"T3",40,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T3",0,3.33
"29",6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,86.67,"T4",40,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T4",6.67,0
"30",6.67,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,90,"T5",41.5,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T5",3.33,0
"31",10.94,0,0,0,0,9.38,4.69,1.56,0,0,0,0,1.56,0,0,0,4.69,67.19,"T6",43.3,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T6",9.38,6.25
"32",7.58,0,0,3.03,0,9.09,6.06,1.52,0,1.52,0,0,1.52,0,0,1.52,0,68.18,"T7",44,"Feb-21","FLIN-02","Feb_21","Feb_21|FLIN-02|T7",12.12,1.52
"33",22.73,9.09,6.06,0,0,54.55,4.55,0,0,0,0,0,0,1.52,0,0,1.52,0,"T1",35.6,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T1",54.55,3.04
"34",21.43,10,0,27.14,0,31.43,4.29,0,0,0,0,1.43,1.43,0,0,0,2.86,0,"T2",37.1,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T2",58.57,5.72
"35",35.71,8.57,0,28.57,0,8.57,8.57,0,0,0,1.43,2.86,2.86,0,0,0,2.86,0,"T3",42.1,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T3",37.14,10.01
"36",52.17,8.7,0,5.8,0,20.29,1.45,0,0,0,0,4.35,5.8,0,0,0,1.45,0,"T4",35.2,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T4",26.09,11.6
"37",11.48,4.92,0,73.77,0,0,4.92,0,0,0,0,0,0,0,0,0,1.64,3.28,"T5",45.4,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T5",73.77,1.64
"38",51.39,16.67,0,8.33,0,12.5,0,0,0,1.39,0,0,8.33,0,0,0,1.39,0,"T6",34.3,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T6",20.83,9.72
"39",7.81,10.94,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,"T7",45.2,"Feb-21","FLIN-01","Feb_21","Feb_21|FLIN-01|T7",79.69,1.56
"40",60,0,0,0,0,5,0,0,0,5,10,5,0,0,0,0,0,15,"T9",6.8,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T9",5,15
"41",51.61,0,0,0,0,0,32.26,0,0,9.68,3.23,0,3.23,0,0,0,0,0,"T1",61.3,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T1",0,6.46
"42",42.11,1.32,0,2.63,0,5.26,18.42,0,0,0,2.63,3.95,3.95,1.32,0,0,1.32,17.11,"T2",55.5,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T2",7.89,13.17
"43",34.85,0,0,0,0,15.15,28.79,1.52,0,0,1.52,4.55,1.52,0,0,0,1.52,10.61,"T3",47.6,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T3",15.15,9.11
"44",37.88,1.52,1.52,4.55,0,9.09,19.7,0,0,0,4.55,12.12,0,3.03,0,0,0,6.06,"T4",39.6,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T4",13.64,19.7
"45",48.68,0,0,0,0,0,23.68,0,0,2.63,9.21,1.32,7.89,0,0,0,1.32,5.26,"T5",28.4,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T5",0,19.74
"46",30.14,0,0,8.22,0,0,17.81,1.37,0,4.11,15.07,4.11,9.59,4.11,0,2.74,2.74,0,"T6",18.6,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T6",8.22,35.62
"47",76.71,0,0,0,0,0,0,2.74,0,0,5.48,0,6.85,0,2.74,4.11,1.37,0,"T7",13.7,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T7",0,13.7
"48",33.85,0,0,6.15,44.62,0,1.54,0,0,0,9.23,0,0,0,1.54,0,3.08,0,"T8",9.6,"Feb-22","HSUP-01","Feb_22","Feb_22|HSUP-01|T8",6.15,12.31
"49",25.4,6.35,0,15.87,0,1.59,33.33,0,0,4.76,0,0,0,0,0,0,0,12.7,"T1",62.7,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T1",17.46,0
"50",15.62,0,3.12,0,0,21.88,12.5,1.56,0,4.69,1.56,3.12,3.12,0,0,0,3.12,29.69,"T10",37,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T10",21.88,10.92
"51",17.65,0,0,19.12,0,5.88,26.47,0,0,2.94,1.47,7.35,4.41,1.47,0,0,1.47,11.76,"T2",63.7,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T2",25,16.17
"52",10.77,18.46,0,18.46,0,0,41.54,0,0,4.62,0,3.08,0,0,0,0,0,3.08,"T3",64.2,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T3",18.46,3.08
"53",14.86,0,0,25.68,0,1.35,28.38,0,0,2.7,0,0,0,0,0,0,0,27.03,"T4",63.2,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T4",27.03,0
"54",27.94,4.41,0,4.41,0,8.82,20.59,0,0,2.94,1.47,5.88,2.94,0,0,1.47,0,19.12,"T5",63.1,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T5",13.23,10.29
"55",14.71,2.94,1.47,8.82,0,4.41,26.47,1.47,0,8.82,2.94,10.29,0,0,0,0,0,17.65,"T6",56.6,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T6",13.23,13.23
"56",17.65,0,0,41.18,0,1.47,20.59,0,0,2.94,1.47,4.41,1.47,1.47,0,0,0,7.35,"T7",54.5,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T7",42.65,8.82
"57",28.99,0,4.35,1.45,0,11.59,5.8,0,0,1.45,5.8,8.7,1.45,1.45,0,0,0,28.99,"T8",46.6,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T8",13.04,17.4
"58",17.57,0,10.81,4.05,0,9.46,20.27,0,0,2.7,8.11,8.11,1.35,1.35,0,0,0,16.22,"T9",45,"Feb-21","HOLM-02","Feb_21","Feb_21|HOLM-02|T9",13.51,18.92
"59",0,30.91,0,0,0,0,18.18,9.09,0,3.64,0,0,18.18,0,0,0,0,20,"T1",98,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T1",0,18.18
"60",0,20.41,0,0,0,0,30.61,0,0,20.41,0,0,24.49,0,0,2.04,0,2.04,"T2",80,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T2",0,24.49
"61",1.52,6.06,0,0,0,10.61,30.3,6.06,0,6.06,0,0,0,0,0,0,1.52,37.88,"T3",68,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T3",10.61,1.52
"62",0,0,0,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,"T4",59,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T4",78.95,0
"63",0,3.33,0,0,0,0,38.33,0,0,0,0,0,1.67,0,0,0,0,56.67,"T5",70,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T5",0,1.67
"64",0,0,0,54.72,0,3.77,0,0,0,1.89,0,0,0,0,0,0,0,39.62,"T6",49.3,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T6",58.49,0
"65",32.31,3.08,0,0,0,3.08,7.69,0,0,30.77,6.15,1.54,6.15,0,0,0,6.15,3.08,"T7",34.9,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T7",3.08,19.99
"66",44.23,0,0,0,0,5.77,15.38,0,0,23.08,5.77,3.85,0,0,0,0,1.92,0,"T8",28,"Jul-21","JULI-01","Jul_21","Jul_21|JULI-01|T8",5.77,11.54
"67",0,43.86,0,0,0,0,17.54,0,0,29.82,0,0,8.77,0,0,0,0,0,"T1",98.6,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T1",0,8.77
"68",25,0,0,12.5,0,2.08,2.08,4.17,0,2.08,8.33,0,0,0,0,0,0,43.75,"T2",91.4,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T2",14.58,8.33
"69",24.14,1.72,0,48.28,1.72,5.17,1.72,0,0,3.45,10.34,0,3.45,0,0,0,0,0,"T3",88.2,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T3",53.45,13.79
"70",0,42.19,0,0,0,0,7.81,0,0,37.5,0,0,6.25,0,0,0,0,6.25,"T4",77,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T4",0,6.25
"71",0,46.67,0,0,0,0,12,0,0,18.67,0,2.67,20,0,0,0,0,0,"T5",66.8,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T5",0,22.67
"72",0,30.65,0,0,0,0,24.19,1.61,0,8.06,0,11.29,24.19,0,0,0,0,0,"T6",57.2,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T6",0,35.48
"73",0,31.37,0,0,0,5.88,25.49,0,0,19.61,0,0,17.65,0,0,0,0,0,"T7",54.5,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T7",5.88,17.65
"74",0,2.56,0,0,0,0,0,30.77,0,14.1,0,0,0,0,0,0,0,52.56,"T8",47.7,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T8",0,0
"75",0,0,0,62,0,0,0,2,0,2,0,0,0,0,0,0,0,34,"T9",35.7,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T9",62,0
"76",35.82,11.94,0,4.48,0,14.93,2.99,0,0,1.49,5.97,0,0,1.49,0,0,1.49,19.4,"T10",28.1,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T10",19.41,8.95
"77",41.18,0,0,1.47,0,32.35,0,0,0,4.41,5.88,7.35,5.88,1.47,0,0,0,0,"T11",13,"Jul-21","JULI-02","Jul_21","Jul_21|JULI-02|T11",33.82,20.58
"78",8.51,10.64,0,0,0,23.4,0,0,0,0,4.26,0,0,0,0,0,0,53.19,"T1",33.9,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T1",23.4,4.26
"79",8.16,4.08,0,0,0,42.86,0,0,0,0,0,0,6.12,0,0,0,0,38.78,"T2",34.5,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T2",42.86,6.12
"80",0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,45,"T3",34.7,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T3",55,0
"81",3.03,6.06,0,0,0,42.42,0,0,0,0,3.03,0,0,0,0,0,0,45.45,"T4",35,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T4",42.42,3.03
"82",6.98,0,0,0,0,32.56,0,0,0,2.33,0,0,0,0,0,0,0,58.14,"T5",34.9,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T5",32.56,0
"83",0,11.11,0,8.89,0,17.78,0,0,0,0,0,0,0,0,0,0,0,62.22,"T6",35,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T6",26.67,0
"84",0,9.09,0,0,0,27.27,4.55,0,0,4.55,9.09,0,0,0,0,0,2.27,43.18,"T7",34.9,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T7",27.27,11.36
"85",0,15.91,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,59.09,"T8",35.1,"Feb-21","MARI-01","Feb_21","Feb_21|MARI-01|T8",25,0
